juil-15;353;3429
août-15;332;3455
sept-15;257;3395
oct-15;378;3426
nov-15;296;3442
déc-15;305;3461
janv-16;236;3435
févr-16;263;3463
mars-16;255;3499
avr-16;243;3484
mai-16;294;3511
juin-16;285;3497
juil-16;356;3500
août-16;301;3469
sept-16;334;3546
oct-16;315;3483
nov-16;258;3445
déc-16;337;3477
;255;3496
;205;3438
;267;3450
;281;3488
;297;3491
;327;3533
;346;3523
;296;3518
;289;3473
;315;3473
;281;3496
;337;3496
;;
;;
;378;236
;296;261
;305;255
;979;244
;;996
;;
;;
;;
;;
;;
;;
;;
;0;
